city,migros_count,population,coordinates
Zürich,41,341730.0,"47.36667, 8.55"
Aadorf,1,7620.0,"47.49204, 8.90099"
Winterthur,11,91908.0,"47.50564, 8.72413"
Luzern,14,81691.0,"47.05048, 8.30635"
Genève,17,183981.0,"46.20222, 6.14569"
Liestal,1,12832.0,"47.48455, 7.73446"
Renens,2,17811.0,"46.53989, 6.5881"
Rheinfelden,1,10733.0,"47.55437, 7.79403"
Turbenthal,1,3109.0,"47.43633, 8.84629"
Eschenbach,1,9175.0,"47.23981, 8.92156"
Basel,22,164488.0,"47.55839, 7.57327"
Kollbrunn,1,1848.0,"47.45793, 8.78295"
Versoix,1,11467.0,"46.28382, 6.16214"
Nyon,2,16797.0,"46.38318, 6.23955"
Buchrain,1,5341.0,"47.09625, 8.34729"
Crissier,1,6612.0,"46.54586, 6.57567"
Beringen,1,3216.0,"47.69763, 8.57431"
Lausanne,15,139111.0,"46.516, 6.63282"
Gland,2,10641.0,"46.42082, 6.2701"
Bern,25,121631.0,"46.94809, 7.44744"
Chêne-Bougeries,1,10487.0,"46.19843, 6.18642"
Romanshorn,1,8956.0,"47.56586, 9.37869"
Villars-sur-Glâne,1,10021.0,"46.79054, 7.11717"
Belfaux,1,2286.0,"46.82171, 7.10674"
Bülach,2,13172.0,"47.52197, 8.54049"
Wolhusen,1,4050.0,"47.05983, 8.07389"
Bütschwil,1,3393.0,"47.36022, 9.07213"
Churwalden,1,1214.0,"46.78143, 9.54377"
St. Gallen,8,70572.0,"47.42391, 9.37477"
Sissach,1,5873.0,"47.46408, 7.80888"
Dietlikon,2,6149.0,"47.41827, 8.6188"
Münchenbuchsee,1,9801.0,"47.02175, 7.45036"
La Chaux-de-Fonds,3,36825.0,"47.09993, 6.82586"
Ilanz,1,2321.0,"46.77413, 9.20461"
Laufen,1,5210.0,"47.42193, 7.49946"
Oberwil,1,10187.0,"47.51407, 7.55786"
Collombey,1,5926.0,"46.27385, 6.94789"
Ascona,1,5084.0,"46.15451, 8.77327"
St. Margrethen SG,1,5395.0,"47.45253, 9.63741"
Münchwilen,1,4612.0,"47.47719, 8.99677"
Richterswil,1,10189.0,"47.20622, 8.69686"
Steinhausen,2,8509.0,"47.1951, 8.48581"
Kilchberg ZH,1,6511.0,"47.32438, 8.54548"
Martigny,3,14768.0,"46.10276, 7.07245"
Bubendorf,1,4543.0,"47.44586, 7.73759"
Emmen,3,30926.0,"47.07819, 8.27331"
Kirchberg SG,1,8127.0,"47.41159, 9.0402"
Münchenstein,2,11644.0,"47.51848, 7.60966"
Arbon,1,12933.0,"47.51667, 9.43333"
Neuchâtel,3,31270.0,"46.99179, 6.931"
Frauenfeld,4,21979.0,"47.55776, 8.89893"
Männedorf,1,7951.0,"47.25686, 8.69893"
Bellevue,1,3674.0,"46.25739, 6.15475"
Wangen an der Aare,1,1944.0,"47.23208, 7.65253"
Diessenhofen,1,0.0,"47.68908, 8.74958"
Egg,1,4003.0,"47.29976, 8.69032"
Pfäffikon SZ,1,7310.0,"47.20109, 8.77816"
Hittnau,1,1502.0,"47.36334, 8.82418"
Sarnen,1,9410.0,"46.89611, 8.24531"
Steffisburg,3,15709.0,"46.77807, 7.63249"
Sainte-Croix,1,4214.0,"46.82203, 6.50283"
